"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region X,Bukidnon,Malitbog,126616,Tagmaray ES,Tagmaray San Luis,BUKIDNON,MALITBOG,1st District,SAN LUIS,Public,DepED Managed,School with no Annexes,Purely ES,23,21,26,18,19,20,19,15,11,10,19,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,126617,Umagling ES,Zone 1 Umagling,BUKIDNON,MALITBOG,1st District,OMAGLING,Public,DepED Managed,School with no Annexes,Purely ES,9,9,10,8,17,8,10,11,11,13,14,13,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,199532,Logdeck ES,"Logdeck, San Luis, Malitbog, Bukidnon Logdeck, San Luis",BUKIDNON,MALITBOG,1st District,SAN LUIS,Public,DepED Managed,School with no Annexes,Purely ES,10,4,15,12,6,7,5,6,5,5,1,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,199539,Bagong Silang Elementary School,"Bagong Silang, Sta. Ines",BUKIDNON,MALITBOG,1st District,SANTA INES,Public,DepED Managed,School with no Annexes,Purely ES,4,4,15,4,8,4,4,6,6,4,7,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,303972,Malitbog Agricultural HS,"Kalingking, Malitbog, Bukidnon",BUKIDNON,MALITBOG,1st District,KALINGKING,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,98,99,140,103,113,84,100,0,0,0,0,15,29,0,0,0,0,0,0,101,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,49,0,0,0,0
Region X,Bukidnon,Malitbog,303981,San Luis NHS,Lumpatan San Luis,BUKIDNON,MALITBOG,1st District,SAN LUIS,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,52,51,44,46,37,37,0,0,0,0,13,18,0,0,0,0,0,0,28,21,0,0,0,0,0,0,9,11,0,0,0,0,0,0,17,10,0,0,0,0
Region X,Bukidnon,Malitbog,314939,San Luis NHS - Sabangaan Annex,sitio Sabanga-an San Luis,BUKIDNON,MALITBOG,1st District,SAN LUIS,Public,DepED Managed,Annex or Extension school(s),Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,18,31,20,19,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,405012,Saint Paul Academy,Magallanes St.,BUKIDNON,MALITBOG,1st District,POBLACION,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,53,53,44,55,44,42,0,0,0,0,0,0,0,0,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,409033,Salanaan Taliwada Hu Peglambu Hu Kahilawan Daw Kalasan,Bayawa,BUKIDNON,MALITBOG,1st District,SILO-O,Private,Sectarian ,School with no Annexes,Purely ES,8,3,5,5,2,4,0,1,3,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Malitbog,459573,Malitbog Kindergarten Center,Purok 6 Poblacion,BUKIDNON,MALITBOG,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely ES,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126618,Abyawan ES,"Sitio Abyawan, Dalirig",BUKIDNON,MANOLO FORTICH,1st District,DALIRIG,Public,DepED Managed,School with no Annexes,Purely ES,20,22,17,12,9,21,11,17,5,17,11,12,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126621,Bagalangit Elementary School,Bagalangit Kalugmanan,BUKIDNON,MANOLO FORTICH,1st District,KALUGMANAN,Public,DepED Managed,School with no Annexes,Purely ES,7,9,15,7,11,8,10,6,6,4,8,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126625,Dalirig ES,Sayre Highway DaIlirig,BUKIDNON,MANOLO FORTICH,1st District,DALIRIG,Public,DepED Managed,School with no Annexes,Purely ES,54,48,51,49,52,47,45,43,31,46,55,43,44,49,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126627,Dicklum ES,Sayre Highway Dicklum,BUKIDNON,MANOLO FORTICH,1st District,DICLUM,Public,DepED Managed,School with no Annexes,Purely ES,45,33,39,46,47,31,37,39,39,27,37,43,41,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126628,Gauron ES,"Sitio Gauron, Sankanan",BUKIDNON,MANOLO FORTICH,1st District,SANKANAN,Public,DepED Managed,School with no Annexes,Purely ES,9,7,10,4,7,5,10,10,7,4,5,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126629,Impakibel ES,Impakibel Maluko,BUKIDNON,MANOLO FORTICH,1st District,MALUKO,Public,DepED Managed,School with no Annexes,Purely ES,11,4,12,10,14,8,13,6,7,6,11,15,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126630,Kalugmanan ES,Zone 1 Kalugmanan,BUKIDNON,MANOLO FORTICH,1st District,KALUGMANAN,Public,DepED Managed,School with no Annexes,Purely ES,45,45,40,35,47,45,43,37,44,50,36,39,35,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126632,Lindaban Elementary School,"Lindaban, Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,LINDABAN,Public,DepED Managed,School with no Annexes,Purely ES,35,36,30,37,32,38,36,40,31,34,31,45,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126633,Lingion ES,"Lingion, Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,LINGION,Public,DepED Managed,School with no Annexes,Purely ES,61,57,75,48,59,78,51,48,64,47,53,55,57,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126635,Maluko CES,"Maluko, Manolo Fortich Bukidnon Maluko",BUKIDNON,MANOLO FORTICH,1st District,MALUKO,Public,DepED Managed,School with no Annexes,Purely ES,40,39,47,33,32,47,39,52,39,36,44,54,42,37,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126638,Manolo Fortich Central Elementary School,"Tankulan,Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,TANKULAN (POB.),Public,DepED Managed,School with no Annexes,Purely ES,141,130,151,108,151,150,136,123,148,144,158,146,149,140,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126643,San Miguel ES,"Purok 2 A,San Miguel",BUKIDNON,MANOLO FORTICH,1st District,SAN MIGUEL,Public,DepED Managed,School with no Annexes,Purely ES,42,37,58,45,53,45,54,51,33,48,46,50,37,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126644,Sankanan ES,"Sankanan, Manolo Fortich, Bukidnon Sankanan",BUKIDNON,MANOLO FORTICH,1st District,SANKANAN,Public,DepED Managed,School with no Annexes,Purely ES,32,45,39,33,32,47,41,42,37,30,44,42,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,126646,Sto. Nino ES,"Sto. Nino, Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,SANTO NINO,Public,DepED Managed,School with no Annexes,Purely ES,56,58,44,48,54,37,61,52,43,55,38,40,40,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,137142,Gaboc Elementary School,Zone 4,BUKIDNON,MANOLO FORTICH,1st District,LINGION,Public,DepED Managed,School with no Annexes,Purely ES,27,16,22,23,30,21,23,19,14,18,16,20,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,199534,Sabangan ES,"Sabangan, Dalirig, Manolo Fortich Sabangan, Dalirig",BUKIDNON,MANOLO FORTICH,1st District,DALIRIG,Public,DepED Managed,School with no Annexes,Purely ES,10,6,8,13,11,8,12,8,13,4,7,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,303974,Manolo Fortich NHS,Sayre Hi-way Tankulan,BUKIDNON,MANOLO FORTICH,1st District,TANKULAN (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,394,429,417,407,428,365,401,0,0,30,110,108,229,24,57,0,0,0,0,338,200,0,0,0,0,44,114,105,179,27,46,0,0,0,0,284,122,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,303983,Sankanan NHS,Zone 3 Sankanan,BUKIDNON,MANOLO FORTICH,1st District,SANKANAN,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,77,61,72,78,71,44,50,0,0,0,0,20,15,0,0,0,0,0,0,25,24,0,0,0,0,0,0,16,23,0,0,0,0,0,0,28,33,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,305736,Maluko National High School,Zone 3,BUKIDNON,MANOLO FORTICH,1st District,MALUKO,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,30,43,34,38,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,314901,Dalirig NHS,Poblacion Dalirig,BUKIDNON,MANOLO FORTICH,1st District,DALIRIG,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,67,54,39,42,53,30,41,0,0,0,0,4,16,0,0,0,0,0,0,37,19,0,0,0,0,0,0,6,25,0,0,0,0,0,0,25,11,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,404972,St. Jude Thaddeus Academy,Purok 15 PCH-I Damilag,BUKIDNON,MANOLO FORTICH,1st District,DAMILAG,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,23,23,28,18,25,19,0,0,0,0,0,0,0,0,33,54,0,0,4,1,0,0,0,0,0,0,0,0,0,0,42,45,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,405013,Del Monte School,Cawayanon Comp. Brgy. San Miguel,BUKIDNON,MANOLO FORTICH,1st District,SAN MIGUEL,Private,Sectarian ,School with no Annexes,Purely ES,4,4,2,6,5,3,6,6,4,6,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,405014,Holy Cross High School,Manolo Fortich,BUKIDNON,MANOLO FORTICH,1st District,AGUSAN CANYON,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,63,61,64,61,66,59,54,0,0,5,4,11,11,38,44,0,0,0,0,0,0,0,0,0,0,1,5,7,5,43,44,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,405015,Manolo Fortich Christian Academy,Andres Bonifacio St.,BUKIDNON,MANOLO FORTICH,1st District,TANKULAN (POB.),Private,Sectarian ,School with no Annexes,Purely ES,14,12,3,5,6,7,7,1,2,2,4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,405017,Phillips Christian School,Manolo Fortich,BUKIDNON,MANOLO FORTICH,1st District,SAN MIGUEL,Private,Sectarian ,School with no Annexes,Purely ES,19,16,12,17,7,9,6,9,4,10,1,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,409030,Lifehouse Montessori Academy,"Purok 9, Gayramara St.",BUKIDNON,MANOLO FORTICH,1st District,DAMILAG,Private,Non-Sectarian ,School with no Annexes,ES and JHS,9,10,8,8,16,9,14,10,13,12,12,14,12,7,2,0,9,5,8,9,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,459563,"Christlife Fellowship, Inc.","Block 18, Artajo Village Subdivision",BUKIDNON,MANOLO FORTICH,2nd District,ALAE,Private,Non-Sectarian ,School with no Annexes,Purely ES,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,501641,Guilang Guilang Integrated School,"Purok 2, Guilang-guilang, Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,GUILANG-GUILANG,Public,DepED Managed,School with no Annexes,ES and JHS,5,14,21,16,11,7,16,16,12,16,17,9,13,13,0,0,17,16,15,15,10,5,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,501742,Ticala Integrated School,"ZONE 1, Ticala,Manolo Fortich,Bukidnon Ticala",BUKIDNON,MANOLO FORTICH,1st District,TICALA,Public,DepED Managed,School with no Annexes,ES and JHS,8,7,14,9,11,15,9,16,6,8,22,17,10,10,0,0,9,7,12,11,8,11,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Manolo Fortich I,501892,Santiago Integrated School,"Santiago, Manolo Fortich, Bukidnon",BUKIDNON,MANOLO FORTICH,1st District,SANTIAGO,Public,DepED Managed,School with no Annexes,ES and JHS,32,21,25,21,21,22,23,19,20,15,29,15,23,21,0,0,14,25,15,15,18,14,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,126649,Anahawon Elem.School,"Purok 4, Anahawon, Maramag, Bukidnon",BUKIDNON,MARAMAG,3rd District,ANAHAWON,Public,DepED Managed,School with no Annexes,Purely ES,30,30,32,30,38,38,27,35,30,21,25,25,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,126652,Base Camp Elementary school,"Purok 3 Base Camp, Maramag, Bukidnon",BUKIDNON,MARAMAG,3rd District,BASE CAMP,Public,DepED Managed,School with no Annexes,Purely ES,59,66,55,54,68,51,57,73,56,43,48,65,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,126653,Camp 1 ES,"Purok 4, CAMP I, MARAMAG, BUKIDNON",BUKIDNON,MARAMAG,3rd District,CAMP I,Public,DepED Managed,School with no Annexes,Purely ES,56,38,62,56,57,51,54,60,62,60,68,64,67,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,126659,Francisco Villa ES,"Zone 7, Purok 7, Brgy. Base Camp",BUKIDNON,MARAMAG,3rd District,BASE CAMP,Public,DepED Managed,School with no Annexes,Purely ES,36,30,45,52,33,46,52,32,48,46,54,42,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,126666,Maramag Central Elementary School,"P5A, North Poblacion, Maramag Bukidnon",BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,282,293,302,284,320,317,333,285,317,350,335,311,352,332,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,199521,Maramag South Elementary School,Purok 7 South Poblacion,BUKIDNON,MARAMAG,3rd District,SOUTH POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,18,13,16,19,24,17,13,18,14,10,20,21,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,303951,Bukidnon NSHI,Purok 2 North Poblacion,BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Public,DepED Managed,Mother school,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,415,468,463,469,496,415,486,0,0,15,52,247,327,76,124,25,17,0,0,163,118,0,0,0,0,16,42,266,307,72,139,46,35,0,0,180,115,0,0,0,0
Region X,Bukidnon,Maramag I,405019,Bayabason Adventist Elementary School,"P4-A, Lower Bayabason",BUKIDNON,MARAMAG,3rd District,BAYABASON (SPRING),Private,Sectarian ,School with no Annexes,Purely ES,0,0,9,9,9,1,7,5,6,4,3,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,405021,Our Lady of Fatima High School,Dagumbaan,BUKIDNON,MARAMAG,3rd District,DAGUMBA-AN,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,29,42,28,23,39,27,0,0,0,0,13,12,0,0,21,16,0,0,0,0,0,0,0,0,0,0,18,23,0,0,19,16,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,405022,Philippine Countryville College,"Purok 2B Sayre highway, Panadtalan",BUKIDNON,MARAMAG,3rd District,PANADTALAN,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,16,11,17,20,23,22,0,0,0,0,34,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,17,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,405023,"San Andres Academy of Maramag, Inc.",North Poblacion,BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Private,Sectarian ,School with no Annexes,All Offering,12,13,13,14,9,14,9,10,12,11,14,5,11,8,0,0,46,53,63,53,60,56,53,56,0,0,0,0,22,14,17,19,0,0,0,0,0,0,0,0,0,0,0,0,20,7,7,23,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,459514,Maramag Baptist Christian Academy,P-7 North Poblacion,BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Private,Sectarian ,School with no Annexes,ES and JHS,24,27,20,27,18,18,10,16,10,9,9,7,10,4,0,0,3,1,2,3,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,459523,Crystal Spring Christian Academy,Purok 8A Spring Side North Pobalcion,BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Private,Sectarian ,School with no Annexes,Purely ES,4,3,2,3,1,4,2,2,3,1,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Maramag I,483547,"SDA CHRISTIAN HOPE ACADEMY, INC.","P-1 North Poblacion, Maramag",BUKIDNON,MARAMAG,3rd District,NORTH POBLACION,Private,Sectarian ,School with no Annexes,Purely ES,18,14,9,11,22,12,22,13,10,12,16,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,117487,Iliyan Te Apu Méndépéten,"Sitio Bagong Buhay, Pigtauranan, Pangantucan, Bukidnon",BUKIDNON,PANGANTUCAN,4th District,PIGTAURANAN,Public,DepED Managed,School with no Annexes,Purely ES,5,1,5,2,3,4,3,2,5,3,4,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126676,Adtuyon Elementary School,"Purok 2,Adtuyon,Pangantucan,Bukidnon",BUKIDNON,PANGANTUCAN,4th District,ADTUYON,Public,DepED Managed,School with no Annexes,Purely ES,23,29,35,26,26,30,23,23,42,24,26,30,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126677,Bacusanon CES,"Purok 1, Bacusanon,Pangantucan,Bukidnon",BUKIDNON,PANGANTUCAN,4th District,BACUSANON,Public,DepED Managed,School with no Annexes,Purely ES,64,55,59,40,51,52,54,38,54,43,51,54,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
